SN,RE_A4,RE_D4,RE_D3,RE_D2,RE_D1,SD_A4,SD_D4,SD_D3,SD_D2,SD_D1,Condition
1,0.999956,0.000010,0.000023,0.000002,0.000008,0.245727,0.002418,0.002606,0.000568,0.000772,IN
2,0.999946,0.000012,0.000029,0.000003,0.000010,0.212871,0.002061,0.002282,0.000493,0.000671,IN
3,0.999982,0.000007,0.000008,0.000001,0.000003,0.496292,0.003327,0.002536,0.000602,0.000818,IN
4,0.999991,0.000004,0.000003,0.000000,0.000001,118.064899,0.417299,0.227028,0.060346,0.082104,L
5,0.999967,0.000017,0.000010,0.000001,0.000005,6.620362,0.044771,0.024206,0.006437,0.008759,G
6,0.999981,0.000010,0.000006,0.000001,0.000003,9.663756,0.051019,0.026744,0.007248,0.009861,G
7,0.999992,0.000004,0.000003,0.000000,0.000001,100.474123,0.344241,0.191539,0.050429,0.068611,L
8,0.999991,0.000004,0.000003,0.000000,0.000001,101.222784,0.358285,0.198807,0.052338,0.071210,L
9,0.999953,0.000007,0.000028,0.000002,0.000009,0.062879,0.000649,0.000896,0.000189,0.000257,N
10,0.999989,0.000005,0.000003,0.000000,0.000002,66.807308,0.259911,0.139940,0.037226,0.050650,L
11,0.999992,0.000004,0.000002,0.000000,0.000001,65.378484,0.221479,0.120132,0.031969,0.043496,L
12,0.999990,0.000005,0.000003,0.000000,0.000002,8.516055,0.031547,0.017184,0.004568,0.006215,G
13,0.999989,0.000005,0.000003,0.000000,0.000002,68.370596,0.264119,0.142864,0.037999,0.051701,L
14,0.999992,0.000004,0.000002,0.000000,0.000001,67.141683,0.224129,0.120990,0.032197,0.043805,L
15,0.999993,0.000004,0.000002,0.000000,0.000001,67.538830,0.210239,0.113063,0.030034,0.040862,L
16,0.999989,0.000005,0.000003,0.000000,0.000002,68.370525,0.264117,0.142864,0.037999,0.051700,L
17,0.999992,0.000004,0.000002,0.000000,0.000001,67.141751,0.224130,0.120990,0.032197,0.043805,L
18,0.999993,0.000004,0.000002,0.000000,0.000001,67.538836,0.210240,0.113063,0.030034,0.040862,L
19,0.999973,0.000014,0.000008,0.000001,0.000004,5.469346,0.044414,0.024206,0.006437,0.008759,G
20,0.999993,0.000004,0.000002,0.000000,0.000001,96.980673,0.418828,0.227029,0.060346,0.082104,L
21,0.999985,0.000008,0.000004,0.000001,0.000002,8.018867,0.050356,0.026745,0.007248,0.009862,G
22,0.999993,0.000004,0.000002,0.000000,0.000001,82.527196,0.363232,0.198806,0.052338,0.071209,L
